ds,scheme,rule,eta,lam_end_frac,mse,loss,nnz,ep,time,type
sparse0.01_500x1000,prox_lin,block_shuffle,0.850000,0.100000,0.181079,889.188051,19,28.000000,0.011163,best_mse
sparse0.01_500x1000,bcm,cyclic,0.700000,0.100000,0.181079,889.188051,19,42.000000,0.149694,best_mse
sparse0.01_500x1000,bcm,shuffle,0.700000,0.100000,0.181079,889.188051,19,42.000000,0.152553,best_mse
california,prox_linear_svrg,shuffle,0.300000,0.001000,9.470109,97837.075138,8,1200.000000,0.038415,best_time
california,prox_lin,cyclic,0.300000,0.001000,4.803662,49639.483097,8,288.000000,0.043405,best_time
california,prox_linear_ext,cyclic,0.300000,0.001000,4.803662,49639.483097,8,288.000000,0.043723,best_time
california,prox_point,cyclic,0.300000,0.001000,4.803662,49639.483097,8,288.000000,0.043761,best_time
california,prox_point,block_shuffle,0.300000,0.001000,4.803662,49639.483058,8,294.000000,0.044642,best_time
california,prox_point,cyclic,0.300000,0.010000,4.840642,50353.926844,6,109.000000,0.016444,best_time
california,prox_linear_ext,cyclic,0.300000,0.010000,4.840642,50353.926844,6,109.000000,0.016550,best_time
california,prox_lin,cyclic,0.300000,0.010000,4.840642,50353.926844,6,109.000000,0.016582,best_time
california,prox_linear_ext,block_shuffle,0.300000,0.010000,4.840642,50353.926809,6,110.000000,0.016916,best_time
california,prox_linear_svrg,shuffle,0.300000,0.010000,4.920863,51169.035495,7,600.000000,0.017207,best_time
california,prox_linear_ext,cyclic,0.500000,0.100000,4.953074,52814.270667,3,13.000000,0.002802,best_time
california,prox_point,cyclic,0.700000,0.100000,4.953074,52814.270667,3,13.000000,0.002804,best_time
california,prox_linear_ext,cyclic,0.950000,0.100000,4.953074,52814.270667,3,13.000000,0.002824,best_time
california,prox_linear_ext,cyclic,0.850000,0.100000,4.953074,52814.270667,3,13.000000,0.002826,best_time
california,prox_point,cyclic,0.850000,0.100000,4.953074,52814.270667,3,13.000000,0.002828,best_time
dense_1000x5000,prox_linear_ext,cyclic,0.300000,0.001000,0.000256,18.453608,20,60.000000,0.239809,best_time
dense_1000x5000,prox_lin,cyclic,0.300000,0.001000,0.000256,18.453608,20,60.000000,0.240432,best_time
dense_1000x5000,prox_point,cyclic,0.300000,0.001000,0.000256,18.453608,20,60.000000,0.244225,best_time
dense_1000x5000,prox_lin,block_shuffle,0.300000,0.001000,0.000256,18.453608,20,62.000000,0.249263,best_time
dense_1000x5000,prox_point,block_shuffle,0.300000,0.001000,0.000256,18.453608,20,64.000000,0.256742,best_time
dense_1000x5000,prox_lin,cyclic,0.300000,0.010000,0.019359,187.093380,20,32.000000,0.128861,best_time
dense_1000x5000,prox_point,cyclic,0.300000,0.010000,0.019359,187.093380,20,32.000000,0.129437,best_time
dense_1000x5000,prox_linear_ext,cyclic,0.300000,0.010000,0.019359,187.093380,20,32.000000,0.129969,best_time
dense_1000x5000,prox_lin,block_shuffle,0.300000,0.010000,0.019359,187.093380,20,33.000000,0.134184,best_time
dense_1000x5000,prox_point,block_shuffle,0.300000,0.010000,0.019359,187.093380,20,34.000000,0.138052,best_time
dense_1000x5000,prox_linear_ext,cyclic,0.300000,0.100000,0.214091,1731.389333,20,17.000000,0.070602,best_time
dense_1000x5000,prox_linear_ext,cyclic,0.950000,0.100000,0.214091,1731.389333,20,17.000000,0.070668,best_time
dense_1000x5000,prox_point,cyclic,0.300000,0.100000,0.214091,1731.389333,20,17.000000,0.070735,best_time
dense_1000x5000,prox_point,cyclic,0.700000,0.100000,0.214091,1731.389333,20,17.000000,0.070742,best_time
dense_1000x5000,prox_lin,cyclic,0.950000,0.100000,0.214091,1731.389333,20,17.000000,0.070775,best_time
dense_500x1000,prox_point,cyclic,0.300000,0.001000,0.000245,8.038876,20,61.000000,0.023665,best_time
dense_500x1000,prox_linear_ext,cyclic,0.300000,0.001000,0.000245,8.038876,20,61.000000,0.023726,best_time
dense_500x1000,prox_lin,cyclic,0.300000,0.001000,0.000245,8.038876,20,61.000000,0.023769,best_time
dense_500x1000,prox_lin,block_shuffle,0.300000,0.001000,0.000245,8.038876,20,68.000000,0.026579,best_time
dense_500x1000,prox_linear_ext,shuffle,0.300000,0.001000,0.000245,8.038876,20,66.000000,0.027005,best_time
dense_500x1000,prox_linear_ext,cyclic,0.300000,0.010000,0.016996,81.438802,19,32.000000,0.012715,best_time
dense_500x1000,prox_lin,cyclic,0.300000,0.010000,0.016996,81.438802,19,32.000000,0.012728,best_time
dense_500x1000,prox_lin,block_shuffle,0.300000,0.010000,0.016996,81.438802,19,34.000000,0.013669,best_time
dense_500x1000,prox_point,block_shuffle,0.300000,0.010000,0.016996,81.438802,19,34.000000,0.013722,best_time
dense_500x1000,prox_point,cyclic,0.300000,0.010000,0.016996,81.438802,19,32.000000,0.013735,best_time
dense_500x1000,prox_linear_ext,cyclic,0.700000,0.100000,0.179344,753.497398,17,17.000000,0.007000,best_time
dense_500x1000,prox_linear_ext,cyclic,0.850000,0.100000,0.179344,753.497398,17,17.000000,0.007012,best_time
dense_500x1000,prox_lin,cyclic,0.950000,0.100000,0.179344,753.497398,17,17.000000,0.007014,best_time
dense_500x1000,prox_lin,cyclic,0.500000,0.100000,0.179344,753.497398,17,17.000000,0.007026,best_time
dense_500x1000,prox_point,cyclic,0.300000,0.100000,0.179344,753.497398,17,17.000000,0.007027,best_time
sparse0.01_500x1000,prox_lin,cyclic,0.300000,0.001000,0.000253,9.429941,24,181.000000,0.065945,best_time
sparse0.01_500x1000,prox_point,cyclic,0.300000,0.001000,0.000253,9.429941,24,181.000000,0.065991,best_time
sparse0.01_500x1000,prox_linear_ext,cyclic,0.300000,0.001000,0.000253,9.429941,24,181.000000,0.066096,best_time
sparse0.01_500x1000,prox_point,block_shuffle,0.300000,0.001000,0.000253,9.429942,24,217.000000,0.080407,best_time
sparse0.01_500x1000,prox_linear_ext,block_shuffle,0.300000,0.001000,0.000253,9.429942,24,217.000000,0.081094,best_time
sparse0.01_500x1000,prox_point,cyclic,0.300000,0.010000,0.020063,95.647694,24,71.000000,0.026503,best_time
sparse0.01_500x1000,prox_lin,cyclic,0.300000,0.010000,0.020063,95.647694,24,71.000000,0.026888,best_time
sparse0.01_500x1000,prox_linear_ext,cyclic,0.300000,0.010000,0.020063,95.647694,24,71.000000,0.026921,best_time
sparse0.01_500x1000,prox_point,block_shuffle,0.300000,0.010000,0.020063,95.647696,24,91.000000,0.033675,best_time
sparse0.01_500x1000,prox_linear_ext,block_shuffle,0.300000,0.010000,0.020063,95.647696,24,91.000000,0.033962,best_time
sparse0.01_500x1000,prox_lin,block_shuffle,0.850000,0.100000,0.181079,889.188051,19,28.000000,0.011163,best_time
sparse0.01_500x1000,prox_point,cyclic,0.700000,0.100000,0.181079,889.188051,19,29.000000,0.011238,best_time
sparse0.01_500x1000,prox_linear_ext,cyclic,0.850000,0.100000,0.181079,889.188051,19,29.000000,0.011278,best_time
sparse0.01_500x1000,prox_point,cyclic,0.850000,0.100000,0.181079,889.188051,19,29.000000,0.011298,best_time
sparse0.01_500x1000,prox_point,cyclic,0.500000,0.100000,0.181079,889.188051,19,29.000000,0.011298,best_time
dense_500x1000,sklearn,-,,0.100000,0.179342,753.497398,17,,0.008478,sklearn
dense_500x1000,sklearn,-,,0.010000,0.002073,79.575585,20,,0.008221,sklearn
dense_500x1000,sklearn,-,,0.001000,0.000112,8.024237,47,,0.040769,sklearn
dense_1000x5000,sklearn,-,,0.100000,0.214090,1731.389333,20,,0.046840,sklearn
dense_1000x5000,sklearn,-,,0.010000,0.002240,182.813561,20,,0.073620,sklearn
dense_1000x5000,sklearn,-,,0.001000,0.000117,18.422455,43,,0.302706,sklearn
sparse0.01_500x1000,sklearn,-,,0.100000,0.181091,889.188053,19,,0.006338,sklearn
sparse0.01_500x1000,sklearn,-,,0.010000,0.002328,93.432798,24,,0.009610,sklearn
sparse0.01_500x1000,sklearn,-,,0.001000,0.000105,9.413547,44,,0.058572,sklearn
california,sklearn,-,,0.100000,4.953074,52814.270667,3,,0.002238,sklearn
california,sklearn,-,,0.010000,4.808711,50200.623560,7,,0.004386,sklearn
california,sklearn,-,,0.001000,4.803310,49637.812864,8,,0.004959,sklearn
